date,Application Function,count
2019-09-30,WMS MA,3
2019-10-01,WMS MA,4
2019-10-02,WMS MA,4
2019-10-03,WMS MA,0
2019-10-04,WMS MA,2
2019-10-05,WMS MA,4
2019-10-06,WMS MA,2
2019-10-07,WMS MA,0
2019-10-08,WMS MA,12
2019-10-09,WMS MA,4
2019-10-10,WMS MA,8
2019-10-11,WMS MA,0
2019-10-12,WMS MA,0
2019-10-13,WMS MA,0
2019-10-14,WMS MA,2
2019-10-15,WMS MA,2
2019-10-16,WMS MA,0
2019-10-17,WMS MA,6
2019-10-18,WMS MA,6
2019-10-19,WMS MA,4
2019-10-20,WMS MA,6
2019-10-21,WMS MA,8
2019-10-22,WMS MA,8
2019-10-23,WMS MA,2
2019-10-24,WMS MA,0
2019-10-25,WMS MA,12
2019-10-26,WMS MA,0
2019-10-27,WMS MA,6
2019-10-28,WMS MA,6
2019-10-29,WMS MA,18
2019-10-30,WMS MA,6
2019-10-31,WMS MA,4
2019-11-01,WMS MA,0
2019-11-02,WMS MA,4
2019-11-03,WMS MA,1
2019-11-04,WMS MA,3
2019-11-05,WMS MA,1
2019-11-06,WMS MA,6
2019-11-07,WMS MA,2
2019-11-08,WMS MA,3
2019-11-09,WMS MA,3
2019-11-10,WMS MA,0
2019-11-11,WMS MA,4
2019-11-12,WMS MA,1
2019-11-13,WMS MA,4
2019-11-14,WMS MA,1
2019-11-15,WMS MA,2
2019-11-16,WMS MA,0
2019-11-17,WMS MA,1
2019-11-18,WMS MA,0
2019-11-19,WMS MA,0
2019-11-20,WMS MA,3
2019-11-21,WMS MA,2
2019-11-22,WMS MA,3
2019-11-23,WMS MA,0
2019-11-24,WMS MA,2
2019-11-25,WMS MA,0
2019-11-26,WMS MA,7
2019-11-27,WMS MA,6
2019-11-28,WMS MA,2
2019-11-29,WMS MA,2
2019-11-30,WMS MA,4
2019-12-01,WMS MA,1
2019-12-02,WMS MA,8
2019-12-03,WMS MA,10
2019-12-04,WMS MA,4
2019-12-05,WMS MA,6
2019-12-06,WMS MA,3
2019-12-07,WMS MA,1
2019-12-08,WMS MA,6
2019-12-09,WMS MA,1
2019-12-10,WMS MA,6
2019-12-11,WMS MA,2
2019-12-12,WMS MA,4
2019-12-13,WMS MA,4
2019-12-14,WMS MA,2
2019-12-15,WMS MA,2
2019-12-16,WMS MA,2
2019-12-17,WMS MA,4
2019-12-18,WMS MA,2
2019-12-19,WMS MA,4
2019-12-20,WMS MA,2
2019-12-21,WMS MA,1
2019-12-22,WMS MA,3
2019-12-23,WMS MA,4
2019-12-24,WMS MA,1
2019-12-25,WMS MA,0
2019-12-26,WMS MA,3
2019-12-27,WMS MA,2
2019-12-28,WMS MA,3
2019-12-29,WMS MA,1
2019-12-30,WMS MA,5
2019-12-31,WMS MA,5
2020-01-01,WMS MA,1
2020-01-02,WMS MA,3
2020-01-03,WMS MA,11
2020-01-04,WMS MA,3
2020-01-05,WMS MA,3
2020-01-06,WMS MA,8
2020-01-07,WMS MA,11
2020-01-08,WMS MA,11
2020-01-09,WMS MA,6
2020-01-10,WMS MA,10
2020-01-11,WMS MA,24
2020-01-12,WMS MA,0
2020-01-13,WMS MA,1
2020-01-14,WMS MA,1
2020-01-15,WMS MA,3
2020-01-16,WMS MA,4
2020-01-17,WMS MA,2
2020-01-18,WMS MA,0
2020-01-19,WMS MA,0
2020-01-20,WMS MA,0
2020-01-21,WMS MA,3
2020-01-22,WMS MA,1
2020-01-23,WMS MA,0
2020-01-24,WMS MA,2
2020-01-25,WMS MA,2
2020-01-26,WMS MA,1
2020-01-27,WMS MA,2
2020-01-28,WMS MA,4
2020-01-29,WMS MA,5
2020-01-30,WMS MA,2
2020-01-31,WMS MA,1
2020-02-01,WMS MA,2
2020-02-02,WMS MA,3
2020-02-03,WMS MA,2
2020-02-04,WMS MA,0
2020-02-05,WMS MA,3
2020-02-06,WMS MA,1
2020-02-07,WMS MA,3
2020-02-08,WMS MA,4
2020-02-09,WMS MA,1
2020-02-10,WMS MA,3
2020-02-11,WMS MA,12
2020-02-12,WMS MA,6
2020-02-13,WMS MA,6
2020-02-14,WMS MA,4
2020-02-15,WMS MA,3
2020-02-16,WMS MA,2
2020-02-17,WMS MA,5
2020-02-18,WMS MA,8
2020-02-19,WMS MA,2
2020-02-20,WMS MA,1
2020-02-21,WMS MA,0
2020-02-22,WMS MA,6
2020-02-23,WMS MA,2
2020-02-24,WMS MA,5
2020-02-25,WMS MA,2
2020-02-26,WMS MA,7
2020-02-27,WMS MA,1
2020-02-28,WMS MA,0
2020-02-29,WMS MA,5
2020-03-01,WMS MA,0
2020-03-02,WMS MA,2
2020-03-03,WMS MA,5
2020-03-04,WMS MA,6
2020-03-05,WMS MA,6
2020-03-06,WMS MA,2
2020-03-07,WMS MA,2
2020-03-08,WMS MA,4
2020-03-09,WMS MA,2
2020-03-10,WMS MA,3
2020-03-11,WMS MA,2
2020-03-12,WMS MA,3
2020-03-13,WMS MA,0
2020-03-14,WMS MA,0
2020-03-15,WMS MA,1
2020-03-16,WMS MA,1
2020-03-17,WMS MA,2
2020-03-18,WMS MA,2
2020-03-19,WMS MA,5
2020-03-20,WMS MA,1
2020-03-21,WMS MA,0
2020-03-22,WMS MA,0
2020-03-23,WMS MA,4
2020-03-24,WMS MA,5
2020-03-25,WMS MA,7
2020-03-26,WMS MA,4
2020-03-27,WMS MA,3
2020-03-28,WMS MA,2
2020-03-29,WMS MA,2
2020-03-30,WMS MA,6
2020-03-31,WMS MA,6
2020-04-01,WMS MA,5
2020-04-02,WMS MA,2
2020-04-03,WMS MA,3
2020-04-04,WMS MA,3
2020-04-05,WMS MA,1
2020-04-06,WMS MA,2
2020-04-07,WMS MA,3
2020-04-08,WMS MA,6
2020-04-09,WMS MA,0
2020-04-10,WMS MA,0
2020-04-11,WMS MA,0
2020-04-12,WMS MA,3
2020-04-13,WMS MA,0
2020-04-14,WMS MA,3
2020-04-15,WMS MA,0
2020-04-16,WMS MA,3
2020-04-17,WMS MA,3
2020-04-18,WMS MA,2
2020-04-19,WMS MA,0
2020-04-20,WMS MA,7
2020-04-21,WMS MA,8
2020-04-22,WMS MA,4
2020-04-23,WMS MA,1
2020-04-24,WMS MA,3
2020-04-25,WMS MA,1
2020-04-26,WMS MA,3
2020-04-27,WMS MA,0
2020-04-28,WMS MA,3
2020-04-29,WMS MA,2
2020-04-30,WMS MA,3
2020-05-01,WMS MA,2
2020-05-02,WMS MA,1
2020-05-03,WMS MA,0
2020-05-04,WMS MA,0
2020-05-05,WMS MA,7
2020-05-06,WMS MA,1
2020-05-07,WMS MA,1
2020-05-08,WMS MA,0
2020-05-09,WMS MA,1
2020-05-10,WMS MA,0
2020-05-11,WMS MA,2
2020-05-12,WMS MA,2
2020-05-13,WMS MA,0
2020-05-14,WMS MA,3
2020-05-15,WMS MA,0
2020-05-16,WMS MA,0
2020-05-17,WMS MA,0
2020-05-18,WMS MA,1
2020-05-19,WMS MA,0
2020-05-20,WMS MA,0
2020-05-21,WMS MA,0
2020-05-22,WMS MA,0
2020-05-23,WMS MA,0
2020-05-24,WMS MA,0
2020-05-25,WMS MA,1
2020-05-26,WMS MA,0
2020-05-27,WMS MA,3
2020-05-28,WMS MA,7
2020-05-29,WMS MA,0
2020-05-30,WMS MA,1
2020-05-31,WMS MA,3
2020-06-01,WMS MA,2
2020-06-02,WMS MA,3
2020-06-03,WMS MA,0
2020-06-04,WMS MA,3
2020-06-05,WMS MA,1
2020-06-06,WMS MA,0
2020-06-07,WMS MA,0
2020-06-08,WMS MA,0
2020-06-09,WMS MA,1
2020-06-10,WMS MA,0
2020-06-11,WMS MA,3
2020-06-12,WMS MA,0
2020-06-13,WMS MA,0
2020-06-14,WMS MA,0
2020-06-15,WMS MA,0
2020-06-16,WMS MA,2
2020-06-17,WMS MA,2
2020-06-18,WMS MA,0
2020-06-19,WMS MA,0
2020-06-20,WMS MA,0
2020-06-21,WMS MA,1
2020-06-22,WMS MA,1
2020-06-23,WMS MA,2
2020-06-24,WMS MA,2
2020-06-25,WMS MA,0
2020-06-26,WMS MA,0
2020-06-27,WMS MA,0
2020-06-28,WMS MA,0
2020-06-29,WMS MA,2
2020-06-30,WMS MA,0
2020-07-01,WMS MA,1
2020-07-02,WMS MA,2
2020-07-03,WMS MA,0
2020-07-04,WMS MA,1
2020-07-05,WMS MA,0
2020-07-06,WMS MA,2
2020-07-07,WMS MA,1
2020-07-08,WMS MA,0
2020-07-09,WMS MA,1
2020-07-10,WMS MA,1
2020-07-11,WMS MA,0
2020-07-12,WMS MA,0
2020-07-13,WMS MA,0
2020-07-14,WMS MA,2
2020-07-15,WMS MA,1
2020-07-16,WMS MA,1
2020-07-17,WMS MA,0
2020-07-18,WMS MA,0
2020-07-19,WMS MA,1
2020-07-20,WMS MA,0
2020-07-21,WMS MA,4
2020-07-22,WMS MA,4
2020-07-23,WMS MA,2
2020-07-24,WMS MA,1
2020-07-25,WMS MA,0
2020-07-26,WMS MA,0
2020-07-27,WMS MA,1
2020-07-28,WMS MA,0
2020-07-29,WMS MA,0
2020-07-30,WMS MA,1
2020-07-31,WMS MA,0
2020-08-01,WMS MA,1
2020-08-02,WMS MA,0
2020-08-03,WMS MA,0
2020-08-04,WMS MA,1
2020-08-05,WMS MA,1
2020-08-06,WMS MA,1
2020-08-07,WMS MA,1
2020-08-08,WMS MA,0
2020-08-09,WMS MA,0
2020-08-10,WMS MA,0
2020-08-11,WMS MA,1
2020-08-12,WMS MA,0
2020-08-13,WMS MA,0
2020-08-14,WMS MA,0
2020-08-15,WMS MA,0
2020-08-16,WMS MA,1
2020-08-17,WMS MA,1
2020-08-18,WMS MA,0
2020-08-19,WMS MA,1
2020-08-20,WMS MA,3
2020-08-21,WMS MA,0
2020-08-22,WMS MA,0
2020-08-23,WMS MA,2
2020-08-24,WMS MA,1
2020-08-25,WMS MA,0
2020-08-26,WMS MA,4
2020-08-27,WMS MA,1
2020-08-28,WMS MA,0
2020-08-29,WMS MA,0
2020-08-30,WMS MA,2
2020-08-31,WMS MA,0
2020-09-01,WMS MA,1
2020-09-02,WMS MA,2
2020-09-03,WMS MA,1
2020-09-04,WMS MA,0
2020-09-05,WMS MA,0
2020-09-06,WMS MA,1
2020-09-07,WMS MA,0
2020-09-08,WMS MA,2
2020-09-09,WMS MA,1
2020-09-10,WMS MA,1
2020-09-11,WMS MA,0
2020-09-12,WMS MA,0
2020-09-13,WMS MA,0
2020-09-14,WMS MA,1
2020-09-15,WMS MA,2
2020-09-16,WMS MA,2
2020-09-17,WMS MA,2
2020-09-18,WMS MA,0
2020-09-19,WMS MA,0
2020-09-20,WMS MA,4
2020-09-21,WMS MA,2
2020-09-22,WMS MA,1
2020-09-23,WMS MA,2
2020-09-24,WMS MA,2
2020-09-25,WMS MA,1
2020-09-26,WMS MA,0
2020-09-27,WMS MA,0
2020-09-28,WMS MA,1
2020-09-29,WMS MA,1
2020-09-30,WMS MA,1
2020-10-01,WMS MA,0
2020-10-02,WMS MA,0
2020-10-03,WMS MA,0
2020-10-04,WMS MA,0
2020-10-05,WMS MA,2
2020-10-06,WMS MA,0
2020-10-07,WMS MA,4
2020-10-08,WMS MA,0
2020-10-09,WMS MA,0
2020-10-10,WMS MA,0
2020-10-11,WMS MA,2
2020-10-12,WMS MA,2
2020-10-13,WMS MA,2
2020-10-14,WMS MA,2
2020-10-15,WMS MA,12
2020-10-16,WMS MA,4
2020-10-17,WMS MA,0
2020-10-18,WMS MA,0
2020-10-19,WMS MA,2
2020-10-20,WMS MA,4
2020-10-21,WMS MA,6
2020-10-22,WMS MA,2
2020-10-23,WMS MA,12
2020-10-24,WMS MA,2
2020-10-25,WMS MA,2
2020-10-26,WMS MA,4
2020-10-27,WMS MA,2
2020-10-28,WMS MA,4
2020-10-29,WMS MA,2
2020-10-30,WMS MA,2
2020-10-31,WMS MA,2
2020-11-01,WMS MA,1
2020-11-02,WMS MA,0
2020-11-03,WMS MA,3
2020-11-04,WMS MA,2
2020-11-05,WMS MA,5
2020-11-06,WMS MA,4
2020-11-07,WMS MA,2
2020-11-08,WMS MA,1
2020-11-09,WMS MA,2
2020-11-10,WMS MA,1
2020-11-11,WMS MA,1
2020-11-12,WMS MA,0
2020-11-13,WMS MA,3
2020-11-14,WMS MA,1
2020-11-15,WMS MA,2
2020-11-16,WMS MA,6
2020-11-17,WMS MA,3
2020-11-18,WMS MA,3
2020-11-19,WMS MA,4
2020-11-20,WMS MA,2
2020-11-21,WMS MA,0
2020-11-22,WMS MA,2
2020-11-23,WMS MA,2
2020-11-24,WMS MA,3
2020-11-25,WMS MA,4
2020-11-26,WMS MA,2
2020-11-27,WMS MA,6
2020-11-28,WMS MA,3
2020-11-29,WMS MA,3
2020-11-30,WMS MA,1
2020-12-01,WMS MA,2
2020-12-02,WMS MA,1
2020-12-03,WMS MA,1
2020-12-04,WMS MA,3
2020-12-05,WMS MA,4
2020-12-06,WMS MA,5
2020-12-07,WMS MA,4
2020-12-08,WMS MA,1
2020-12-09,WMS MA,3
2020-12-10,WMS MA,5
2020-12-11,WMS MA,1
2020-12-12,WMS MA,3
2020-12-13,WMS MA,6
2020-12-14,WMS MA,2
2020-12-15,WMS MA,1
2020-12-16,WMS MA,1
2020-12-17,WMS MA,3
2020-12-18,WMS MA,5
2020-12-19,WMS MA,2
2020-12-20,WMS MA,1
2020-12-21,WMS MA,5
2020-12-22,WMS MA,0
2020-12-23,WMS MA,6
2020-12-24,WMS MA,0
2020-12-25,WMS MA,0
2020-12-26,WMS MA,0
2020-12-27,WMS MA,1
2020-12-28,WMS MA,1
2020-12-29,WMS MA,4
2020-12-30,WMS MA,5
2020-12-31,WMS MA,0
2021-01-01,WMS MA,2
2021-01-02,WMS MA,1
2021-01-03,WMS MA,2
2021-01-04,WMS MA,4
2021-01-05,WMS MA,6
2021-01-06,WMS MA,11
2021-01-07,WMS MA,6
2021-01-08,WMS MA,4
2021-01-09,WMS MA,11
2021-01-10,WMS MA,2
2021-01-11,WMS MA,1
2021-01-12,WMS MA,1
2021-01-13,WMS MA,5
2021-01-14,WMS MA,1
2021-01-15,WMS MA,2
2021-01-16,WMS MA,0
2021-01-17,WMS MA,0
2021-01-18,WMS MA,1
2021-01-19,WMS MA,1
2021-01-20,WMS MA,3
2021-01-21,WMS MA,2
2021-01-22,WMS MA,0
2021-01-23,WMS MA,0
2021-01-24,WMS MA,1
2021-01-25,WMS MA,3
2021-01-26,WMS MA,6
2021-01-27,WMS MA,4
2021-01-28,WMS MA,2
2021-01-29,WMS MA,1
2021-01-30,WMS MA,3
2021-01-31,WMS MA,0
2021-02-01,WMS MA,0
2021-02-02,WMS MA,3
2021-02-03,WMS MA,4
2021-02-04,WMS MA,1
2021-02-05,WMS MA,6
2021-02-06,WMS MA,3
2021-02-07,WMS MA,2
2021-02-08,WMS MA,1
2021-02-09,WMS MA,0
2021-02-10,WMS MA,5
2021-02-11,WMS MA,0
2021-02-12,WMS MA,4
2021-02-13,WMS MA,5
2021-02-14,WMS MA,1
2021-02-15,WMS MA,1
2021-02-16,WMS MA,1
2021-02-17,WMS MA,1
2021-02-18,WMS MA,0
2021-02-19,WMS MA,1
2021-02-20,WMS MA,0
2021-02-21,WMS MA,2
2021-02-22,WMS MA,1
2021-02-23,WMS MA,1
2021-02-24,WMS MA,2
2021-02-25,WMS MA,1
2021-02-26,WMS MA,1
2021-02-27,WMS MA,3
2021-02-28,WMS MA,1
2021-03-01,WMS MA,4
2021-03-02,WMS MA,2
2021-03-03,WMS MA,6
2021-03-04,WMS MA,2
2021-03-05,WMS MA,1
2021-03-06,WMS MA,3
2021-03-07,WMS MA,1
2021-03-08,WMS MA,6
2021-03-09,WMS MA,4
2021-03-10,WMS MA,2
2021-03-11,WMS MA,0
2021-03-12,WMS MA,3
2021-03-13,WMS MA,2
2021-03-14,WMS MA,0
2021-03-15,WMS MA,1
2021-03-16,WMS MA,5
2021-03-17,WMS MA,2
2021-03-18,WMS MA,2
2021-03-19,WMS MA,1
2021-03-20,WMS MA,1
2021-03-21,WMS MA,2
2021-03-22,WMS MA,5
2021-03-23,WMS MA,6
2021-03-24,WMS MA,0
2021-03-25,WMS MA,2
2021-03-26,WMS MA,0
2021-03-27,WMS MA,2
2021-03-28,WMS MA,3
2021-03-29,WMS MA,4
2021-03-30,WMS MA,4
2021-03-31,WMS MA,5
2021-04-01,WMS MA,2
2021-04-02,WMS MA,0
2021-04-03,WMS MA,3
2021-04-04,WMS MA,1
2021-04-05,WMS MA,2
2021-04-06,WMS MA,5
2021-04-07,WMS MA,1
2021-04-08,WMS MA,3
2021-04-09,WMS MA,0
2021-04-10,WMS MA,2
2021-04-11,WMS MA,3
2021-04-12,WMS MA,3
2021-04-13,WMS MA,4
2021-04-14,WMS MA,7
2021-04-15,WMS MA,3
2021-04-16,WMS MA,1
2021-04-17,WMS MA,0
2021-04-18,WMS MA,2
2021-04-19,WMS MA,5
2021-04-20,WMS MA,2
2021-04-21,WMS MA,2
2021-04-22,WMS MA,3
2021-04-23,WMS MA,3
2021-04-24,WMS MA,1
2021-04-25,WMS MA,4
2021-04-26,WMS MA,1
2021-04-27,WMS MA,9
2021-04-28,WMS MA,2
2021-04-29,WMS MA,4
2021-04-30,WMS MA,2
2021-05-01,WMS MA,1
2021-05-02,WMS MA,0
2021-05-03,WMS MA,6
2021-05-04,WMS MA,4
2021-05-05,WMS MA,2
2021-05-06,WMS MA,1
2021-05-07,WMS MA,1
2021-05-08,WMS MA,0
2021-05-09,WMS MA,3
2021-05-10,WMS MA,3
2021-05-11,WMS MA,2
2021-05-12,WMS MA,4
2021-05-13,WMS MA,4
2021-05-14,WMS MA,1
2021-05-15,WMS MA,0
2021-05-16,WMS MA,0
2021-05-17,WMS MA,7
2021-05-18,WMS MA,4
2021-05-19,WMS MA,1
2021-05-20,WMS MA,4
2021-05-21,WMS MA,2
2021-05-22,WMS MA,4
2021-05-23,WMS MA,0
2021-05-24,WMS MA,9
2021-05-25,WMS MA,2
2021-05-26,WMS MA,3
2021-05-27,WMS MA,1
2021-05-28,WMS MA,2
2021-05-29,WMS MA,1
2021-05-30,WMS MA,4
2021-05-31,WMS MA,4
2021-06-01,WMS MA,1
2021-06-02,WMS MA,1
2021-06-03,WMS MA,1
2021-06-04,WMS MA,4
2021-06-05,WMS MA,3
2021-06-06,WMS MA,0
2021-06-07,WMS MA,7
2021-06-08,WMS MA,3
2021-06-09,WMS MA,4
2021-06-10,WMS MA,2
2021-06-11,WMS MA,2
2021-06-12,WMS MA,1
2021-06-13,WMS MA,2
2021-06-14,WMS MA,5
2021-06-15,WMS MA,2
2021-06-16,WMS MA,6
2021-06-17,WMS MA,5
2021-06-18,WMS MA,4
2021-06-19,WMS MA,1
2021-06-20,WMS MA,2
2021-06-21,WMS MA,3
2021-06-22,WMS MA,1
2021-06-23,WMS MA,2
2021-06-24,WMS MA,2
2021-06-25,WMS MA,2
2021-06-26,WMS MA,3
2021-06-27,WMS MA,1
2021-06-28,WMS MA,4
2021-06-29,WMS MA,5
2021-06-30,WMS MA,2
2021-07-01,WMS MA,4
2021-07-02,WMS MA,1
2021-07-03,WMS MA,0
2021-07-04,WMS MA,7
2021-07-05,WMS MA,3
2021-07-06,WMS MA,0
2021-07-07,WMS MA,6
2021-07-08,WMS MA,4
2021-07-09,WMS MA,6
2021-07-10,WMS MA,3
2021-07-11,WMS MA,2
2021-07-12,WMS MA,4
2021-07-13,WMS MA,6
2021-07-14,WMS MA,0
2021-07-15,WMS MA,7
2021-07-16,WMS MA,11
2021-07-17,WMS MA,2
2021-07-18,WMS MA,1
2021-07-19,WMS MA,6
2021-07-20,WMS MA,5
2021-07-21,WMS MA,0
2021-07-22,WMS MA,1
2021-07-23,WMS MA,1
2021-07-24,WMS MA,2
2021-07-25,WMS MA,5
2021-07-26,WMS MA,6
2021-07-27,WMS MA,6
2021-07-28,WMS MA,3
2021-07-29,WMS MA,1
2021-07-30,WMS MA,3
2021-07-31,WMS MA,1
2021-08-01,WMS MA,4
2021-08-02,WMS MA,3
2021-08-03,WMS MA,3
2021-08-04,WMS MA,6
2021-08-05,WMS MA,1
2021-08-06,WMS MA,3
2021-08-07,WMS MA,4
2021-08-08,WMS MA,3
2021-08-09,WMS MA,2
2021-08-10,WMS MA,3
2021-08-11,WMS MA,4
2021-08-12,WMS MA,7
2021-08-13,WMS MA,1
2021-08-14,WMS MA,3
2021-08-15,WMS MA,8
2021-08-16,WMS MA,8
2021-08-17,WMS MA,7
2021-08-18,WMS MA,7
2021-08-19,WMS MA,4
2021-08-20,WMS MA,3
2021-08-21,WMS MA,2
2021-08-22,WMS MA,3
2021-08-23,WMS MA,2
2021-08-24,WMS MA,5
2021-08-25,WMS MA,7
2021-08-26,WMS MA,2
2021-08-27,WMS MA,2
2021-08-28,WMS MA,1
2021-08-29,WMS MA,8
2021-08-30,WMS MA,5
2021-08-31,WMS MA,5
2021-09-01,WMS MA,6
2021-09-02,WMS MA,5
2021-09-03,WMS MA,4
2021-09-04,WMS MA,5
2021-09-05,WMS MA,1
2021-09-06,WMS MA,5
2021-09-07,WMS MA,6
2021-09-08,WMS MA,6
2021-09-09,WMS MA,0
2021-09-10,WMS MA,1
2021-09-11,WMS MA,4
2021-09-12,WMS MA,5
2021-09-13,WMS MA,3
2021-09-14,WMS MA,4
2021-09-15,WMS MA,5
2021-09-16,WMS MA,3
2021-09-17,WMS MA,0
2021-09-18,WMS MA,0
2021-09-19,WMS MA,4
2021-09-20,WMS MA,4
2021-09-21,WMS MA,5
2021-09-22,WMS MA,7
2021-09-23,WMS MA,5
2021-09-24,WMS MA,1
2021-09-25,WMS MA,1
2021-09-26,WMS MA,0
2021-09-27,WMS MA,4
2021-09-28,WMS MA,5
2021-09-29,WMS MA,6
2021-09-30,WMS MA,1
2021-10-01,WMS MA,2
2021-10-02,WMS MA,3
2021-10-03,WMS MA,6
2021-10-04,WMS MA,2
2021-10-05,WMS MA,5
2021-10-06,WMS MA,5
2021-10-07,WMS MA,7
2021-10-08,WMS MA,0
2021-10-09,WMS MA,7
2021-10-10,WMS MA,5
2021-10-11,WMS MA,7
2021-10-12,WMS MA,2
2021-10-13,WMS MA,5
2021-10-14,WMS MA,3
2021-10-15,WMS MA,4
2021-10-16,WMS MA,1
2021-10-17,WMS MA,3
2021-10-18,WMS MA,10
2021-10-19,WMS MA,6
2021-10-20,WMS MA,6
2021-10-21,WMS MA,3
2021-10-22,WMS MA,4
2021-10-23,WMS MA,0
2021-10-24,WMS MA,1
2021-10-25,WMS MA,4
2021-10-26,WMS MA,6
2021-10-27,WMS MA,7
2021-10-28,WMS MA,5
2021-10-29,WMS MA,5
2021-10-30,WMS MA,5
2021-10-31,WMS MA,2
